"2020-05-13:09:00;36;0;0
"2020-05-13:10:00;47;30712;477799
"2020-05-13:11:00;42;30186;424874
"2020-05-13:12:00;34;29988;381120
"2020-05-13:13:00;40;27293;380760
"2020-05-13:14:00;41;29634;511268
"2020-05-13:15:00;39;33617;532886
"2020-05-13:16:00;38;29331;478316
"2020-05-13:17:00;34;31222;429271
"2020-05-13:18:00;29;24513;336897
"2020-05-13:19:00;26;20873;324346
"2020-05-13:20:00;35;16053;252612
"2020-05-13:21:00;20;14435;149040
"2020-05-13:22:00;19;8424;95977
"2020-05-13:23:00;18;2900;39833
"2020-05-14:00:00;15;1065;34717
"2020-05-14:01:00;17;629;58341
"2020-05-14:02:00;16;616;20252
"2020-05-14:03:00;16;450;16902
"2020-05-14:04:00;17;470;16586
"2020-05-14:05:00;17;536;16445
"2020-05-14:06:00;19;1438;29058
"2020-05-14:07:00;17;6835;75109
"2020-05-14:08:00;23;13799;179443
"2020-05-14:09:00;34;23481;392874
"2020-05-14:10:00;40;30365;472854
"2020-05-14:11:00;43;30951;500884
"2020-05-14:12:00;38;29905;478269
"2020-05-14:13:00;34;27515;460078
"2020-05-14:14:00;38;28757;479320
"2020-05-14:15:00;35;28086;514767
"2020-05-14:16:00;39;30181;475768
"2020-05-14:17:00;36;26064;420226
"2020-05-14:18:00;32;22441;351223
"2020-05-14:19:00;21;17686;281456
"2020-05-14:20:00;41;14918;251830
"2020-05-14:21:00;22;9501;146055
"2020-05-14:22:00;19;4964;80540
"2020-05-14:23:00;17;3071;70683
"2020-05-15:00:00;16;778;35222
"2020-05-15:01:00;16;447;18658
"2020-05-15:02:00;16;526;12425
"2020-05-15:03:00;15;495;12897
"2020-05-15:04:00;20;438;13890
"2020-05-15:05:00;15;504;17179
"2020-05-15:06:00;16;1422;26860
"2020-05-15:07:00;15;5940;61696
"2020-05-15:08:00;20;13806;146886
"2020-05-15:09:00;28;21750;338574
"2020-05-15:10:00;38;20460;390073
"2020-05-15:11:00;36;25724;460629
"2020-05-15:12:00;30;23644;415567
"2020-05-15:13:00;30;24238;433889
"2020-05-15:14:00;35;27925;465213
"2020-05-15:15:00;40;28010;483522
"2020-05-15:16:00;36;28477;455244
"2020-05-15:17:00;31;25440;404592
"2020-05-15:18:00;31;24046;331849
"2020-05-15:19:00;21;19519;268689
"2020-05-15:20:00;33;18852;231391
"2020-05-15:21:00;22;13594;140102
"2020-05-15:22:00;17;6366;75011
"2020-05-15:23:00;17;3592;54239
"2020-05-16:00:00;16;925;42377
"2020-05-16:01:00;14;2830;74976
"2020-05-16:02:00;13;1669;57461
"2020-05-16:03:00;11;1671;62375
"2020-05-16:04:00;11;2618;65835
"2020-05-16:05:00;12;3865;70856
"2020-05-16:06:00;13;3058;75589
"2020-05-16:07:00;17;6933;111617
"2020-05-16:08:00;32;15510;216601
"2020-05-16:09:00;28;20858;419208
"2020-05-16:10:00;34;26606;488611
"2020-05-16:11:00;33;28248;495106
"2020-05-16:12:00;31;25889;436160
"2020-05-16:13:00;29;30720;433812
"2020-05-16:14:00;27;27107;395764
"2020-05-16:15:00;26;22069;335236
"2020-05-16:16:00;23;18390;212410
"2020-05-16:17:00;21;15449;196103
"2020-05-16:18:00;24;15585;184194
"2020-05-16:19:00;22;17531;150816
"2020-05-16:20:00;25;17279;140056
"2020-05-16:21:00;17;10185;113640
"2020-05-16:22:00;15;4405;67466
"2020-05-16:23:00;16;13338;57405
"2020-05-17:00:00;16;198;882
"2020-05-17:01:00;16;53;376
"2020-05-17:02:00;15;2;9
"2020-05-17:03:00;14;0;7
"2020-05-17:04:00;14;0;3
"2020-05-17:05:00;16;11;128
"2020-05-17:06:00;17;466;2938
"2020-05-17:07:00;18;2039;10825
"2020-05-17:08:00;16;3663;40297
"2020-05-17:09:00;17;4845;60128
"2020-05-17:10:00;18;5799;72732
"2020-05-17:11:00;17;6217;80401
"2020-05-17:12:00;16;5530;73259
"2020-05-17:13:00;18;5286;69884
"2020-05-17:14:00;18;5207;72528
"2020-05-17:15:00;16;5016;71576
"2020-05-17:16:00;17;4907;71994
"2020-05-17:17:00;16;5238;69117
"2020-05-17:18:00;16;5152;68111
"2020-05-17:19:00;18;4441;62412
"2020-05-17:20:00;29;3879;54970
"2020-05-17:21:00;16;3182;45576
"2020-05-17:22:00;15;1953;33779
"2020-05-17:23:00;15;1425;26708
"2020-05-18:00:00;16;660;21054
"2020-05-18:01:00;15;508;19829
"2020-05-18:02:00;15;430;19185
"2020-05-18:03:00;16;452;19684
"2020-05-18:04:00;13;435;20527
"2020-05-18:05:00;13;503;19422
"2020-05-18:06:00;14;1312;28079
"2020-05-18:07:00;19;4830;63254
"2020-05-18:08:00;22;11944;155609
"2020-05-18:09:00;32;22484;341525
"2020-05-18:10:00;34;26820;400900
"2020-05-18:11:00;34;27970;400172
"2020-05-18:12:00;31;26770;385828
"2020-05-18:13:00;38;25805;364917
"2020-05-18:14:00;29;28309;411044
"2020-05-18:15:00;35;27090;450956
"2020-05-18:16:00;37;28543;470141
"2020-05-18:17:00;35;26400;424452
"2020-05-18:18:00;28;22157;353225
"2020-05-18:19:00;26;19254;300801
"2020-05-18:20:00;31;15965;253156
"2020-05-18:21:00;19;9942;138666
"2020-05-18:22:00;15;7422;95238
"2020-05-18:23:00;14;3401;77287
"2020-05-19:00:00;19;1485;27071
"2020-05-19:01:00;17;3817;41668
"2020-05-19:02:00;21;5501;45928
"2020-05-19:03:00;16;8532;62044
"2020-05-19:04:00;26;8718;65763
"2020-05-19:05:00;16;8056;60747
"2020-05-19:06:00;20;9232;75780
"2020-05-19:07:00;20;13213;126545
"2020-05-19:08:00;28;18807;240006
"2020-05-19:09:00;34;34426;541820
"2020-05-19:10:00;37;29646;551423
"2020-05-19:11:00;40;30158;550908
"2020-05-19:12:00;38;28631;500877
"2020-05-19:13:00;35;26958;471959
"2020-05-19:14:00;43;30421;810095
"2020-05-19:15:00;41;25209;849835
"2020-05-19:16:00;64;24536;447951
"2020-05-19:17:00;30;25727;448133
"2020-05-19:18:00;23;22088;368822
"2020-05-19:19:00;22;18799;304006
"2020-05-19:20:00;33;16227;263983
"2020-05-19:21:00;17;10375;162159
"2020-05-19:22:00;17;6848;94897
"2020-05-19:23:00;15;5297;97353
"2020-05-20:00:00;10;1031;76438
"2020-05-20:01:00;12;896;76921
"2020-05-20:02:00;16;728;74477
"2020-05-20:03:00;17;674;77433
"2020-05-20:04:00;16;109030;84210
"2020-05-20:05:00;14;580;29212
"2020-05-20:06:00;22;1678;41014
"2020-05-20:07:00;12;5783;85410
"2020-05-20:08:00;18;11990;200695
"2020-05-20:09:00;31;24313;483545
"2020-05-20:10:00;31;29449;559015
"2020-05-20:11:00;35;74178;560795
"2020-05-20:12:00;32;28287;517820
"2020-05-20:13:00;34;26732;482112
"2020-05-20:14:00;38;28946;529124
"2020-05-20:15:00;41;29615;549713
"2020-05-20:16:00;78;27355;525913
"2020-05-20:17:00;38;25860;459133
"2020-05-20:18:00;25;20524;370894
"2020-05-20:19:00;21;17678;293194
"2020-05-20:20:00;36;14749;247069
"2020-05-20:21:00;17;125481;143898
"2020-05-20:22:00;14;6124;124601
"2020-05-20:23:00;13;7289;115491
"2020-05-21:00:00;18;7359;101145
"2020-05-21:01:00;11;983;30587
"2020-05-21:02:00;17;642;26237
"2020-05-21:03:00;16;1020;28767
"2020-05-21:04:00;13;755;29769
"2020-05-21:05:00;12;632;25850
"2020-05-21:06:00;13;1625;37986
"2020-05-21:07:00;16;5146;78442
"2020-05-21:08:00;20;11659;193379
"2020-05-21:09:00;33;24436;454367
"2020-05-21:10:00;36;30822;536673
"2020-05-21:11:00;38;28213;519522
"2020-05-21:12:00;33;24871;463003
"2020-05-21:13:00;35;25430;456085
"2020-05-21:14:00;40;27693;488402
"2020-05-21:15:00;37;26948;496653
"2020-05-21:16:00;70;26526;475764
"2020-05-21:17:00;32;24020;420766
"2020-05-21:18:00;24;20280;336056
"2020-05-21:19:00;26;17164;286997
"2020-05-21:20:00;46;14642;252257
"2020-05-21:21:00;17;9422;149333
"2020-05-21:22:00;20;5985;113053
"2020-05-21:23:00;16;2961;63119
"2020-05-22:00:00;12;870;26907
"2020-05-22:01:00;17;613;26129
"2020-05-22:02:00;9;503;25393
"2020-05-22:03:00;10;567;25235
"2020-05-22:04:00;10;592;29317
"2020-05-22:05:00;8;577;26457
"2020-05-22:06:00;11;1477;37784
"2020-05-22:07:00;13;4855;77988
"2020-05-22:08:00;19;10552;169601
"2020-05-22:09:00;29;21747;430185
"2020-05-22:10:00;36;28345;521318
"2020-05-22:11:00;32;27773;519814
"2020-05-22:12:00;35;26172;466581
"2020-05-22:13:00;31;27348;465181
"2020-05-22:14:00;32;29125;508366
"2020-05-22:15:00;42;30105;590854
"2020-05-22:16:00;96;32471;594248
"2020-05-22:17:00;45;35096;1025810
"2020-05-22:18:00;25;29443;361468
"2020-05-22:19:00;21;17455;282647
"2020-05-22:20:00;26;14203;227975
"2020-05-22:21:00;17;11326;146948
"2020-05-22:22:00;17;8373;120190
"2020-05-22:23:00;13;7767;86317
"2020-05-23:00:00;12;4613;123300
"2020-05-23:01:00;9;2903;95258
"2020-05-23:02:00;9;2350;98126
"2020-05-23:03:00;10;14342;102831
"2020-05-23:04:00;10;14977;107692
"2020-05-23:05:00;8;14083;100695
"2020-05-23:06:00;9;15197;112000
"2020-05-23:07:00;13;18401;136165
"2020-05-23:08:00;14;24930;239313
"2020-05-23:09:00;23;26211;448477
"2020-05-23:10:00;29;29494;546926
"2020-05-23:11:00;36;29918;546832
"2020-05-23:12:00;31;25273;451464
"2020-05-23:13:00;24;21600;365525
"2020-05-23:14:00;21;21606;338241
"2020-05-23:15:00;21;19081;313557
"2020-05-23:16:00;23;16217;216072
"2020-05-23:17:00;22;15912;185973
"2020-05-23:18:00;19;14772;164175
"2020-05-23:19:00;19;13410;144852
"2020-05-23:20:00;25;13548;168016
"2020-05-23:21:00;16;12061;117496
"2020-05-23:22:00;12;14375;169736
"2020-05-23:23:00;13;19572;138608
"2020-05-24:00:00;11;17657;118835
"2020-05-24:01:00;10;17705;118501
"2020-05-24:02:00;12;11181;88716
"2020-05-24:03:00;12;8510;73784
"2020-05-24:04:00;40;8103;75484
"2020-05-24:05:00;8;8473;67446
"2020-05-24:06:00;10;8993;75555
"2020-05-24:07:00;13;10293;104936
"2020-05-24:08:00;14;11126;129307
"2020-05-24:09:00;14;14030;163734
"2020-05-24:10:00;14;17608;180083
"2020-05-24:11:00;15;19135;177812
"2020-05-24:12:00;15;15633;171905
"2020-05-24:13:00;17;20126;168960
"2020-05-24:14:00;16;17128;170373
"2020-05-24:15:00;14;13063;167037
"2020-05-24:16:00;17;16699;161809
"2020-05-24:17:00;24;16787;168722
"2020-05-24:18:00;19;19802;173193
"2020-05-24:19:00;19;17439;146817
"2020-05-24:20:00;23;13321;108629
"2020-05-24:21:00;19;9305;88680
"2020-05-24:22:00;18;6293;65834
"2020-05-24:23:00;19;4585;46597
"2020-05-25:00:00;18;3633;43559
"2020-05-25:01:00;25;3267;42257
"2020-05-25:02:00;19;3275;41603
"2020-05-25:03:00;17;3417;40923
"2020-05-25:04:00;16;3325;43923
"2020-05-25:05:00;16;3290;42607
"2020-05-25:06:00;17;4247;52098
"2020-05-25:07:00;19;7360;91370
"2020-05-25:08:00;22;13942;208957
"2020-05-25:09:00;32;25716;447050
"2020-05-25:10:00;39;32557;518974
"2020-05-25:11:00;38;39852;554186
"2020-05-25:12:00;38;35678;552126
